_id,date,hosp_for_covid,hosp_other_conditions,icu_for_covid,icu_other_conditions
1027,2022-01-08T00:00:00,.5302,.4698,.7955,.2045
1028,2022-01-09T00:00:00,.5395,.4605,.8279,.1721
1029,2022-01-10T00:00:00,.5468,.4532,.8307,.1693
1030,2022-01-11T00:00:00,.5450,.4550,.8198,.1802
1031,2022-01-12T00:00:00,.5277,.4723,.8027,.1973
1032,2022-01-13T00:00:00,.5308,.4692,.7942,.2058
1033,2022-01-14T00:00:00,.5224,.4776,.7899,.2101
1034,2022-01-15T00:00:00,.5274,.4726,.7950,.2050
1035,2022-01-16T00:00:00,.5276,.4724,.8166,.1834
1036,2022-01-17T00:00:00,.5411,.4589,.8253,.1747
1037,2022-01-18T00:00:00,.5486,.4514,.8115,.1885
1038,2022-01-19T00:00:00,.5414,.4586,.8167,.1833
1039,2022-01-20T00:00:00,.5660,.4340,.8189,.1811
1040,2022-01-21T00:00:00,.5559,.4441,.7954,.2046
1041,2022-01-22T00:00:00,.5588,.4412,.8327,.1673
1042,2022-01-23T00:00:00,.5539,.4461,.8404,.1596
1043,2022-01-24T00:00:00,.5564,.4436,.8240,.1760
1044,2022-01-25T00:00:00,.5613,.4387,.8136,.1864
1045,2022-01-26T00:00:00,.5537,.4463,.8087,.1913
1046,2022-01-27T00:00:00,.5454,.4546,.8091,.1909
1047,2022-01-28T00:00:00,.5434,.4566,.8088,.1912
1048,2022-01-29T00:00:00,.5586,.4414,.8248,.1752
1049,2022-01-30T00:00:00,.5503,.4497,.8206,.1794
1050,2022-01-31T00:00:00,.5630,.4370,.8256,.1744
1051,2022-02-01T00:00:00,.5633,.4367,.8253,.1747
1052,2022-02-02T00:00:00,.5435,.4565,.8345,.1655
1053,2022-02-03T00:00:00,.5431,.4569,.7976,.2024
1054,2022-02-04T00:00:00,.5447,.4553,.7837,.2163
1055,2022-02-05T00:00:00,.5487,.4513,.8010,.1990
1056,2022-02-06T00:00:00,.5586,.4414,.8168,.1832
1057,2022-02-07T00:00:00,.5585,.4415,.8028,.1972
1058,2022-02-08T00:00:00,.5526,.4474,.7614,.2386
1059,2022-02-09T00:00:00,.5368,.4632,.8025,.1975
1060,2022-02-10T00:00:00,.5432,.4568,.8082,.1918
1061,2022-02-11T00:00:00,.5470,.4530,.8106,.1894
1062,2022-02-12T00:00:00,.5311,.4689,.8185,.1815
1063,2022-02-13T00:00:00,.5393,.4607,.7964,.2036
1064,2022-02-14T00:00:00,.5399,.4601,.8161,.1839
1065,2022-02-15T00:00:00,.5207,.4793,.8030,.1970
1066,2022-02-16T00:00:00,.5065,.4935,.8065,.1935
1067,2022-02-17T00:00:00,.5008,.4992,.7940,.2060
1068,2022-02-18T00:00:00,.5089,.4911,.8634,.1366
1069,2022-02-19T00:00:00,.5115,.4885,.7971,.2029
1070,2022-02-20T00:00:00,.4925,.5075,.8038,.1962
1071,2022-02-21T00:00:00,.4911,.5089,.7750,.2250
1072,2022-02-22T00:00:00,.4883,.5117,.7755,.2245
1073,2022-02-23T00:00:00,.4857,.5143,.8011,.1989
1074,2022-02-24T00:00:00,.4596,.5404,.8171,.1829
1075,2022-02-25T00:00:00,.4442,.5558,.8408,.1592
1076,2022-02-26T00:00:00,.4519,.5481,.7836,.2164
1077,2022-02-27T00:00:00,.4542,.5458,.8026,.1974
1078,2022-02-28T00:00:00,.4441,.5559,.8239,.1761
1079,2022-03-01T00:00:00,.4495,.5505,.8082,.1918
1080,2022-03-02T00:00:00,.4422,.5578,.7919,.2081
1081,2022-03-03T00:00:00,.4389,.5611,.7692,.2308
1082,2022-03-04T00:00:00,.4353,.5647,.7609,.2391
1083,2022-03-05T00:00:00,.4239,.5761,.7576,.2424
1084,2022-03-06T00:00:00,.4401,.5599,.8168,.1832
1085,2022-03-07T00:00:00,.4537,.5463,.8106,.1894
1086,2022-03-08T00:00:00,.4701,.5299,.7895,.2105
1087,2022-03-09T00:00:00,.4648,.5352,.7578,.2422
1088,2022-03-10T00:00:00,.4634,.5366,.7692,.2308
1089,2022-03-11T00:00:00,.4831,.5169,.7913,.2087
1090,2022-03-12T00:00:00,.4804,.5196,.7805,.2195
1091,2022-03-13T00:00:00,.4921,.5079,.7698,.2302
1092,2022-03-14T00:00:00,.4670,.5330,.7857,.2143
1093,2022-03-15T00:00:00,.4721,.5279,.7544,.2456
1094,2022-03-16T00:00:00,.4525,.5475,.7838,.2162
1095,2022-03-17T00:00:00,.4743,.5257,.7981,.2019
1096,2022-03-18T00:00:00,.4722,.5278,.7700,.2300
1097,2022-03-19T00:00:00,.4684,.5316,.7870,.2130
1098,2022-03-20T00:00:00,.4589,.5411,.7156,.2844
1099,2022-03-21T00:00:00,.4653,.5347,.7037,.2963
1100,2022-03-22T00:00:00,.4532,.5468,.7900,.2100
1101,2022-03-23T00:00:00,.4660,.5340,.7677,.2323
1102,2022-03-24T00:00:00,.4797,.5203,.7553,.2447
1103,2022-03-25T00:00:00,.4812,.5188,.7778,.2222
1104,2022-03-26T00:00:00,.4688,.5313,.7708,.2292
1105,2022-03-27T00:00:00,.4691,.5309,.7188,.2813
1106,2022-03-28T00:00:00,.4918,.5082,.7320,.2680
1107,2022-03-29T00:00:00,.4772,.5228,.7364,.2636
1108,2022-03-30T00:00:00,.4864,.5136,.7103,.2897
1109,2022-03-31T00:00:00,.4638,.5362,.6893,.3107
1110,2022-04-01T00:00:00,.4798,.5202,.7264,.2736
1111,2022-04-02T00:00:00,.4805,.5195,.6796,.3204
1112,2022-04-03T00:00:00,.4575,.5425,.6759,.3241
1113,2022-04-04T00:00:00,.4622,.5378,.6952,.3048
1114,2022-04-05T00:00:00,.4668,.5332,.6604,.3396
1115,2022-04-06T00:00:00,.4567,.5433,.6422,.3578
1116,2022-04-07T00:00:00,.4645,.5355,.6579,.3421
1117,2022-04-08T00:00:00,.4336,.5664,.6569,.3431
1118,2022-04-09T00:00:00,.4431,.5569,.6429,.3571
1119,2022-04-10T00:00:00,.4572,.5428,.6372,.3628
1120,2022-04-11T00:00:00,.4664,.5336,.6083,.3917
1121,2022-04-12T00:00:00,.4516,.5484,.6491,.3509
1122,2022-04-13T00:00:00,.4507,.5493,.6417,.3583
1123,2022-04-14T00:00:00,.4564,.5436,.6047,.3953
1124,2022-04-15T00:00:00,.4431,.5569,.6466,.3534
1125,2022-04-16T00:00:00,.4444,.5556,.6279,.3721
1126,2022-04-17T00:00:00,.4468,.5532,.6357,.3643
1127,2022-04-18T00:00:00,.4550,.5450,.5935,.4065
1128,2022-04-19T00:00:00,.4558,.5442,.6181,.3819
1129,2022-04-20T00:00:00,.4587,.5413,.6296,.3704
1130,2022-04-21T00:00:00,.4570,.5430,.6641,.3359
1131,2022-04-22T00:00:00,.4422,.5578,.6846,.3154
1132,2022-04-23T00:00:00,.4404,.5596,.6541,.3459
1133,2022-04-24T00:00:00,.4524,.5476,.6500,.3500
1134,2022-04-25T00:00:00,.4540,.5460,.6568,.3432
1135,2022-04-26T00:00:00,.4507,.5493,.6647,.3353
1136,2022-04-27T00:00:00,.4361,.5639,.6944,.3056
1137,2022-04-28T00:00:00,.4144,.5856,.6429,.3571
1138,2022-04-29T00:00:00,.4015,.5985,.7008,.2992
1139,2022-04-30T00:00:00,.4074,.5926,.6441,.3559
1140,2022-05-01T00:00:00,.4288,.5712,.6507,.3493
1141,2022-05-02T00:00:00,.4311,.5689,.6500,.3500
1142,2022-05-03T00:00:00,.4236,.5764,.6549,.3451
1143,2022-05-04T00:00:00,.4165,.5835,.6159,.3841
1144,2022-05-05T00:00:00,.4287,.5713,.6812,.3188
1145,2022-05-06T00:00:00,.4136,.5864,.6875,.3125
1146,2022-05-07T00:00:00,.4117,.5883,.6667,.3333
1147,2022-05-08T00:00:00,.4075,.5925,.6385,.3615
1148,2022-05-09T00:00:00,.4006,.5994,.6179,.3821
1149,2022-05-10T00:00:00,.3977,.6023,.6111,.3889
1150,2022-05-11T00:00:00,.3984,.6016,.6126,.3874
1151,2022-05-12T00:00:00,.3932,.6068,.6577,.3423
1152,2022-05-13T00:00:00,.3872,.6128,.6757,.3243
1153,2022-05-14T00:00:00,.3773,.6227,.6449,.3551
1154,2022-05-15T00:00:00,.3852,.6148,.6606,.3394
1155,2022-05-16T00:00:00,.4018,.5982,.5909,.4091
1156,2022-05-17T00:00:00,.3934,.6066,.6226,.3774
1157,2022-05-18T00:00:00,.3976,.6024,.5429,.4571
1158,2022-05-19T00:00:00,.3821,.6179,.4950,.5050
1159,2022-05-20T00:00:00,.4006,.5994,.5258,.4742
1160,2022-05-21T00:00:00,.3883,.6117,.5977,.4023
1161,2022-05-22T00:00:00,.4194,.5806,.6818,.3182
1162,2022-05-23T00:00:00,.4116,.5884,.6477,.3523
1163,2022-05-24T00:00:00,.4185,.5815,.6000,.4000
1164,2022-05-25T00:00:00,.4107,.5893,.6082,.3918
1165,2022-05-26T00:00:00,.4009,.5991,.6526,.3474
1166,2022-05-27T00:00:00,.3967,.6033,.6667,.3333
1167,2022-05-28T00:00:00,.4085,.5915,.6829,.3171
1168,2022-05-29T00:00:00,.4067,.5933,.6786,.3214
1169,2022-05-30T00:00:00,.4134,.5866,.6579,.3421
1170,2022-05-31T00:00:00,.4167,.5833,.6757,.3243
1171,2022-06-01T00:00:00,.4239,.5761,.6154,.3846
1172,2022-06-02T00:00:00,.4060,.5940,.7397,.2603
1173,2022-06-03T00:00:00,.4029,.5971,.7000,.3000
1174,2022-06-04T00:00:00,.4227,.5773,.6825,.3175
1175,2022-06-05T00:00:00,.3972,.6028,.6812,.3188
1176,2022-06-06T00:00:00,.4255,.5745,.7119,.2881
